"jurisdiction","age_group","year","population"
"Georgia","all",2010,9653798
"Georgia","all",2011,9735448
"Georgia","all",2012,9838651
"Georgia","all",2013,9912074
"Georgia","all",2014,10005555
"Georgia","all",2015,10119225
"Georgia","all",2016,10248132
"Georgia","all",2017,10355784
"Georgia","all",2018,10456534
"Georgia","all",2019,10565165
"Georgia","all",2020,10664067
"Georgia","all",2021,10737227
"Georgia","all",2022,10835721
"Georgia","all",2023,10934214
"Georgia","0-24",2010,3442813
"Georgia","0-24",2011,3451232
"Georgia","0-24",2012,3470722
"Georgia","0-24",2013,3469868
"Georgia","0-24",2014,3475838
"Georgia","0-24",2015,3481769
"Georgia","0-24",2016,3491963
"Georgia","0-24",2017,3491196
"Georgia","0-24",2018,3489594
"Georgia","0-24",2019,3495754
"Georgia","0-24",2020,3524674
"Georgia","0-24",2021,3525181
"Georgia","0-24",2022,3532669
"Georgia","0-24",2023,3540157
"Georgia","25-44",2010,2699685
"Georgia","25-44",2011,2692073
"Georgia","25-44",2012,2696704
"Georgia","25-44",2013,2698993
"Georgia","25-44",2014,2708148
"Georgia","25-44",2015,2726643
"Georgia","25-44",2016,2754341
"Georgia","25-44",2017,2782589
"Georgia","25-44",2018,2811707
"Georgia","25-44",2019,2845111
"Georgia","25-44",2020,2863490
"Georgia","25-44",2021,2888082
"Georgia","25-44",2022,2905209
"Georgia","25-44",2023,2922336
"Georgia","45-64",2010,2470282
"Georgia","45-64",2011,2516355
"Georgia","45-64",2012,2532320
"Georgia","45-64",2013,2549049
"Georgia","45-64",2014,2573130
"Georgia","45-64",2015,2609138
"Georgia","45-64",2016,2647409
"Georgia","45-64",2017,2675455
"Georgia","45-64",2018,2694142
"Georgia","45-64",2019,2705105
"Georgia","45-64",2020,2741024
"Georgia","45-64",2021,2739893
"Georgia","45-64",2022,2764403
"Georgia","45-64",2023,2788913
"Georgia","65-74",2010,612196
"Georgia","65-74",2011,636062
"Georgia","65-74",2012,686818
"Georgia","65-74",2013,729169
"Georgia","65-74",2014,767868
"Georgia","65-74",2015,804091
"Georgia","65-74",2016,838102
"Georgia","65-74",2017,869201
"Georgia","65-74",2018,895237
"Georgia","65-74",2019,926705
"Georgia","65-74",2020,955153
"Georgia","65-74",2021,987987
"Georgia","65-74",2022,1022150
"Georgia","65-74",2023,1056313
"Georgia","75-84",2010,313698
"Georgia","75-84",2011,321080
"Georgia","75-84",2012,329006
"Georgia","75-84",2013,338508
"Georgia","75-84",2014,350209
"Georgia","75-84",2015,362822
"Georgia","75-84",2016,377257
"Georgia","75-84",2017,394314
"Georgia","75-84",2018,418801
"Georgia","75-84",2019,441139
"Georgia","75-84",2020,439908
"Georgia","75-84",2021,455027
"Georgia","75-84",2022,467875
"Georgia","75-84",2023,480723
"Georgia","85+",2010,115124
"Georgia","85+",2011,118646
"Georgia","85+",2012,123081
"Georgia","85+",2013,126487
"Georgia","85+",2014,130362
"Georgia","85+",2015,134762
"Georgia","85+",2016,139060
"Georgia","85+",2017,143029
"Georgia","85+",2018,147053
"Georgia","85+",2019,151351
"Georgia","85+",2020,139818
"Georgia","85+",2021,141057
"Georgia","85+",2022,143415
"Georgia","85+",2023,145772
"Hawaii","all",2010,1324627
"Hawaii","all",2011,1339765
"Hawaii","all",2012,1352116
"Hawaii","all",2013,1362679
"Hawaii","all",2014,1368133
"Hawaii","all",2015,1374801
"Hawaii","all",2016,1381309
"Hawaii","all",2017,1379103
"Hawaii","all",2018,1377820
"Hawaii","all",2019,1370330
"Hawaii","all",2020,1410216
"Hawaii","all",2021,1399328
"Hawaii","all",2022,1406119
"Hawaii","all",2023,1412910
"Hawaii","0-24",2010,422328
"Hawaii","0-24",2011,425867
"Hawaii","0-24",2012,427127
"Hawaii","0-24",2013,428358
"Hawaii","0-24",2014,425432
"Hawaii","0-24",2015,423551
"Hawaii","0-24",2016,419638
"Hawaii","0-24",2017,413172
"Hawaii","0-24",2018,408472
"Hawaii","0-24",2019,402530
"Hawaii","0-24",2020,414066
"Hawaii","0-24",2021,406866
"Hawaii","0-24",2022,405460
"Hawaii","0-24",2023,404055
"Hawaii","25-44",2010,337922
"Hawaii","25-44",2011,341415
"Hawaii","25-44",2012,345515
"Hawaii","25-44",2013,348275
"Hawaii","25-44",2014,350091
"Hawaii","25-44",2015,352174
"Hawaii","25-44",2016,356039
"Hawaii","25-44",2017,356404
"Hawaii","25-44",2018,356507
"Hawaii","25-44",2019,354055
"Hawaii","25-44",2020,365860
"Hawaii","25-44",2021,360746
"Hawaii","25-44",2022,362821
"Hawaii","25-44",2023,364896
"Hawaii","45-64",2010,367754
"Hawaii","45-64",2011,369383
"Hawaii","45-64",2012,367311
"Hawaii","45-64",2013,364941
"Hawaii","45-64",2014,362838
"Hawaii","45-64",2015,360737
"Hawaii","45-64",2016,359195
"Hawaii","45-64",2017,355334
"Hawaii","45-64",2018,350697
"Hawaii","45-64",2019,344731
"Hawaii","45-64",2020,354925
"Hawaii","45-64",2021,349412
"Hawaii","45-64",2022,347745
"Hawaii","45-64",2023,346077
"Hawaii","65-74",2010,101729
"Hawaii","65-74",2011,106490
"Hawaii","65-74",2012,113881
"Hawaii","65-74",2013,120892
"Hawaii","65-74",2014,127670
"Hawaii","65-74",2015,134025
"Hawaii","65-74",2016,139572
"Hawaii","65-74",2017,144600
"Hawaii","65-74",2018,149036
"Hawaii","65-74",2019,151939
"Hawaii","65-74",2020,159090
"Hawaii","65-74",2021,162622
"Hawaii","65-74",2022,168158
"Hawaii","65-74",2023,173693
"Hawaii","75-84",2010,64232
"Hawaii","75-84",2011,64162
"Hawaii","75-84",2012,64059
"Hawaii","75-84",2013,64278
"Hawaii","75-84",2014,64633
"Hawaii","75-84",2015,65440
"Hawaii","75-84",2016,66760
"Hawaii","75-84",2017,68404
"Hawaii","75-84",2018,71166
"Hawaii","75-84",2019,74848
"Hawaii","75-84",2020,77241
"Hawaii","75-84",2021,80866
"Hawaii","75-84",2022,82378
"Hawaii","75-84",2023,83890
"Hawaii","85+",2010,30662
"Hawaii","85+",2011,32448
"Hawaii","85+",2012,34223
"Hawaii","85+",2013,35935
"Hawaii","85+",2014,37469
"Hawaii","85+",2015,38874
"Hawaii","85+",2016,40105
"Hawaii","85+",2017,41189
"Hawaii","85+",2018,41942
"Hawaii","85+",2019,42227
"Hawaii","85+",2020,39034
"Hawaii","85+",2021,38816
"Hawaii","85+",2022,39557
"Hawaii","85+",2023,40299
"Idaho","all",2010,1566163
"Idaho","all",2011,1579138
"Idaho","all",2012,1592142
"Idaho","all",2013,1608194
"Idaho","all",2014,1628020
"Idaho","all",2015,1648634
"Idaho","all",2016,1680538
"Idaho","all",2017,1716267
"Idaho","all",2018,1748536
"Idaho","all",2019,1785522
"Idaho","all",2020,1844443
"Idaho","all",2021,1897598
"Idaho","all",2022,1927728
"Idaho","all",2023,1957859
"Idaho","0-24",2010,582102
"Idaho","0-24",2011,582623
"Idaho","0-24",2012,583139
"Idaho","0-24",2013,584824
"Idaho","0-24",2014,587592
"Idaho","0-24",2015,589289
"Idaho","0-24",2016,595435
"Idaho","0-24",2017,602480
"Idaho","0-24",2018,606667
"Idaho","0-24",2019,612205
"Idaho","0-24",2020,629824
"Idaho","0-24",2021,641484
"Idaho","0-24",2022,646882
"Idaho","0-24",2023,652281
"Idaho","25-44",2010,398095
"Idaho","25-44",2011,400281
"Idaho","25-44",2012,402817
"Idaho","25-44",2013,406467
"Idaho","25-44",2014,411389
"Idaho","25-44",2015,417074
"Idaho","25-44",2016,426583
"Idaho","25-44",2017,438455
"Idaho","25-44",2018,450237
"Idaho","25-44",2019,462390
"Idaho","25-44",2020,478234
"Idaho","25-44",2021,496118
"Idaho","25-44",2022,505029
"Idaho","25-44",2023,513940
"Idaho","45-64",2010,389834
"Idaho","45-64",2011,394479
"Idaho","45-64",2012,394182
"Idaho","45-64",2013,395177
"Idaho","45-64",2014,397501
"Idaho","45-64",2015,400986
"Idaho","45-64",2016,406049
"Idaho","45-64",2017,410941
"Idaho","45-64",2018,414544
"Idaho","45-64",2019,419958
"Idaho","45-64",2020,435189
"Idaho","45-64",2021,444540
"Idaho","45-64",2022,449513
"Idaho","45-64",2023,454487
"Idaho","65-74",2010,110560
"Idaho","65-74",2011,114725
"Idaho","65-74",2012,123401
"Idaho","65-74",2013,130839
"Idaho","65-74",2014,137871
"Idaho","65-74",2015,144807
"Idaho","65-74",2016,152800
"Idaho","65-74",2017,160720
"Idaho","65-74",2018,167997
"Idaho","65-74",2019,176328
"Idaho","65-74",2020,187069
"Idaho","65-74",2021,197346
"Idaho","65-74",2022,205236
"Idaho","65-74",2023,213125
"Idaho","75-84",2010,60108
"Idaho","75-84",2011,61141
"Idaho","75-84",2012,62409
"Idaho","75-84",2013,64335
"Idaho","75-84",2014,66712
"Idaho","75-84",2015,68931
"Idaho","75-84",2016,71669
"Idaho","75-84",2017,75075
"Idaho","75-84",2018,80010
"Idaho","75-84",2019,85020
"Idaho","75-84",2020,86608
"Idaho","75-84",2021,90494
"Idaho","75-84",2022,93256
"Idaho","75-84",2023,96019
"Idaho","85+",2010,25464
"Idaho","85+",2011,25889
"Idaho","85+",2012,26194
"Idaho","85+",2013,26552
"Idaho","85+",2014,26955
"Idaho","85+",2015,27547
"Idaho","85+",2016,28002
"Idaho","85+",2017,28596
"Idaho","85+",2018,29081
"Idaho","85+",2019,29621
"Idaho","85+",2020,27519
"Idaho","85+",2021,27616
"Idaho","85+",2022,27812
"Idaho","85+",2023,28007
"Illinois","all",2010,12806451
"Illinois","all",2011,12838696
"Illinois","all",2012,12854189
"Illinois","all",2013,12864874
"Illinois","all",2014,12857987
"Illinois","all",2015,12830913
"Illinois","all",2016,12792356
"Illinois","all",2017,12752510
"Illinois","all",2018,12697186
"Illinois","all",2019,12639520
"Illinois","all",2020,12766014
"Illinois","all",2021,12649646
"Illinois","all",2022,12635391
"Illinois","all",2023,12621136
"Illinois","0-24",2010,4351917
"Illinois","0-24",2011,4329212
"Illinois","0-24",2012,4300684
"Illinois","0-24",2013,4266316
"Illinois","0-24",2014,4229460
"Illinois","0-24",2015,4181117
"Illinois","0-24",2016,4125902
"Illinois","0-24",2017,4071962
"Illinois","0-24",2018,4015376
"Illinois","0-24",2019,3959004
"Illinois","0-24",2020,4001053
"Illinois","0-24",2021,3932142
"Illinois","0-24",2022,3893981
"Illinois","0-24",2023,3855819
"Illinois","25-44",2010,3485942
"Illinois","25-44",2011,3478786
"Illinois","25-44",2012,3469249
"Illinois","25-44",2013,3465941
"Illinois","25-44",2014,3452604
"Illinois","25-44",2015,3432173
"Illinois","25-44",2016,3411769
"Illinois","25-44",2017,3401949
"Illinois","25-44",2018,3393759
"Illinois","25-44",2019,3384831
"Illinois","25-44",2020,3416393
"Illinois","25-44",2021,3384994
"Illinois","25-44",2022,3375817
"Illinois","25-44",2023,3366640
"Illinois","45-64",2010,3352599
"Illinois","45-64",2011,3388836
"Illinois","45-64",2012,3382083
"Illinois","45-64",2013,3381340
"Illinois","45-64",2014,3376843
"Illinois","45-64",2015,3373702
"Illinois","45-64",2016,3362161
"Illinois","45-64",2017,3338518
"Illinois","45-64",2018,3298742
"Illinois","45-64",2019,3253423
"Illinois","45-64",2020,3287939
"Illinois","45-64",2021,3231048
"Illinois","45-64",2022,3219998
"Illinois","45-64",2023,3208948
"Illinois","65-74",2010,854042
"Illinois","65-74",2011,873905
"Illinois","65-74",2012,927598
"Illinois","65-74",2013,968382
"Illinois","65-74",2014,1006424
"Illinois","65-74",2015,1044518
"Illinois","65-74",2016,1082101
"Illinois","65-74",2017,1114192
"Illinois","65-74",2018,1140618
"Illinois","65-74",2019,1175529
"Illinois","65-74",2020,1224647
"Illinois","65-74",2021,1259846
"Illinois","65-74",2022,1296737
"Illinois","65-74",2023,1333629
"Illinois","75-84",2010,524862
"Illinois","75-84",2011,525343
"Illinois","75-84",2012,525856
"Illinois","75-84",2013,529773
"Illinois","75-84",2014,535013
"Illinois","75-84",2015,538433
"Illinois","75-84",2016,546346
"Illinois","75-84",2017,560671
"Illinois","75-84",2018,582966
"Illinois","75-84",2019,600249
"Illinois","75-84",2020,592580
"Illinois","75-84",2021,601395
"Illinois","75-84",2022,608353
"Illinois","75-84",2023,615310
"Illinois","85+",2010,237089
"Illinois","85+",2011,242614
"Illinois","85+",2012,248719
"Illinois","85+",2013,253122
"Illinois","85+",2014,257643
"Illinois","85+",2015,260970
"Illinois","85+",2016,264077
"Illinois","85+",2017,265218
"Illinois","85+",2018,265725
"Illinois","85+",2019,266484
"Illinois","85+",2020,243402
"Illinois","85+",2021,240221
"Illinois","85+",2022,240506
"Illinois","85+",2023,240790
"Indiana","all",2010,6485665
"Indiana","all",2011,6513042
"Indiana","all",2012,6535342
"Indiana","all",2013,6567116
"Indiana","all",2014,6592946
"Indiana","all",2015,6608697
"Indiana","all",2016,6635303
"Indiana","all",2017,6659343
"Indiana","all",2018,6695641
"Indiana","all",2019,6728170
"Indiana","all",2020,6784583
"Indiana","all",2021,6804882
"Indiana","all",2022,6833902
"Indiana","all",2023,6862921
"Indiana","0-24",2010,2257025
"Indiana","0-24",2011,2257004
"Indiana","0-24",2012,2256457
"Indiana","0-24",2013,2258913
"Indiana","0-24",2014,2256200
"Indiana","0-24",2015,2247573
"Indiana","0-24",2016,2242014
"Indiana","0-24",2017,2231451
"Indiana","0-24",2018,2231488
"Indiana","0-24",2019,2228040
"Indiana","0-24",2020,2249577
"Indiana","0-24",2021,2245816
"Indiana","0-24",2022,2244797
"Indiana","0-24",2023,2243778
"Indiana","25-44",2010,1664378
"Indiana","25-44",2011,1661641
"Indiana","25-44",2012,1657957
"Indiana","25-44",2013,1662734
"Indiana","25-44",2014,1665861
"Indiana","25-44",2015,1665749
"Indiana","25-44",2016,1669851
"Indiana","25-44",2017,1683013
"Indiana","25-44",2018,1700602
"Indiana","25-44",2019,1718470
"Indiana","25-44",2020,1736718
"Indiana","25-44",2021,1751273
"Indiana","25-44",2022,1759173
"Indiana","25-44",2023,1767072
"Indiana","45-64",2010,1719988
"Indiana","45-64",2011,1737423
"Indiana","45-64",2012,1732045
"Indiana","45-64",2013,1730724
"Indiana","45-64",2014,1728906
"Indiana","45-64",2015,1728561
"Indiana","45-64",2016,1728824
"Indiana","45-64",2017,1722366
"Indiana","45-64",2018,1711828
"Indiana","45-64",2019,1697747
"Indiana","45-64",2020,1709333
"Indiana","45-64",2021,1693105
"Indiana","45-64",2022,1690661
"Indiana","45-64",2023,1688217
"Indiana","65-74",2010,454520
"Indiana","65-74",2011,464202
"Indiana","65-74",2012,493163
"Indiana","65-74",2013,514949
"Indiana","65-74",2014,536660
"Indiana","65-74",2015,557395
"Indiana","65-74",2016,577880
"Indiana","65-74",2017,597885
"Indiana","65-74",2018,614493
"Indiana","65-74",2019,636182
"Indiana","65-74",2020,658828
"Indiana","65-74",2021,681528
"Indiana","65-74",2022,702165
"Indiana","65-74",2023,722802
"Indiana","75-84",2010,273407
"Indiana","75-84",2011,273458
"Indiana","75-84",2012,273676
"Indiana","75-84",2013,275739
"Indiana","75-84",2014,278975
"Indiana","75-84",2015,281443
"Indiana","75-84",2016,287205
"Indiana","75-84",2017,294639
"Indiana","75-84",2018,306796
"Indiana","75-84",2019,317039
"Indiana","75-84",2020,311833
"Indiana","75-84",2021,316728
"Indiana","75-84",2022,320666
"Indiana","75-84",2023,324605
"Indiana","85+",2010,116347
"Indiana","85+",2011,119314
"Indiana","85+",2012,122044
"Indiana","85+",2013,124057
"Indiana","85+",2014,126344
"Indiana","85+",2015,127976
"Indiana","85+",2016,129529
"Indiana","85+",2017,129989
"Indiana","85+",2018,130434
"Indiana","85+",2019,130692
"Indiana","85+",2020,118294
"Indiana","85+",2021,116432
"Indiana","85+",2022,116440
"Indiana","85+",2023,116447
"Iowa","all",2010,3048886
"Iowa","all",2011,3062768
"Iowa","all",2012,3075288
"Iowa","all",2013,3092265
"Iowa","all",2014,3109092
"Iowa","all",2015,3121242
"Iowa","all",2016,3131848
"Iowa","all",2017,3142509
"Iowa","all",2018,3148098
"Iowa","all",2019,3157794
"Iowa","all",2020,3188382
"Iowa","all",2021,3192791
"Iowa","all",2022,3205873
"Iowa","all",2023,3218956
"Iowa","0-24",2010,1034693
"Iowa","0-24",2011,1037990
"Iowa","0-24",2012,1041841
"Iowa","0-24",2013,1048824
"Iowa","0-24",2014,1054355
"Iowa","0-24",2015,1055122
"Iowa","0-24",2016,1053833
"Iowa","0-24",2017,1051199
"Iowa","0-24",2018,1046183
"Iowa","0-24",2019,1042949
"Iowa","0-24",2020,1056401
"Iowa","0-24",2021,1052537
"Iowa","0-24",2022,1054159
"Iowa","0-24",2023,1055781
"Iowa","25-44",2010,746483
"Iowa","25-44",2011,747410
"Iowa","25-44",2012,747890
"Iowa","25-44",2013,750558
"Iowa","25-44",2014,753946
"Iowa","25-44",2015,756929
"Iowa","25-44",2016,760880
"Iowa","25-44",2017,768907
"Iowa","25-44",2018,776025
"Iowa","25-44",2019,784655
"Iowa","25-44",2020,794666
"Iowa","25-44",2021,800841
"Iowa","25-44",2022,805783
"Iowa","25-44",2023,810724
"Iowa","45-64",2010,814052
"Iowa","45-64",2011,820648
"Iowa","45-64",2012,816062
"Iowa","45-64",2013,813851
"Iowa","45-64",2014,811047
"Iowa","45-64",2015,808744
"Iowa","45-64",2016,804558
"Iowa","45-64",2017,797368
"Iowa","45-64",2018,787912
"Iowa","45-64",2019,777978
"Iowa","45-64",2020,783182
"Iowa","45-64",2021,774140
"Iowa","45-64",2022,770512
"Iowa","45-64",2023,766883
"Iowa","65-74",2010,225195
"Iowa","65-74",2011,227715
"Iowa","65-74",2012,239919
"Iowa","65-74",2013,249523
"Iowa","65-74",2014,259135
"Iowa","65-74",2015,269270
"Iowa","65-74",2016,280005
"Iowa","65-74",2017,291131
"Iowa","65-74",2018,300251
"Iowa","65-74",2019,311336
"Iowa","65-74",2020,324614
"Iowa","65-74",2021,336104
"Iowa","65-74",2022,346187
"Iowa","65-74",2023,356269
"Iowa","75-84",2010,153323
"Iowa","75-84",2011,152764
"Iowa","75-84",2012,152018
"Iowa","75-84",2013,151450
"Iowa","75-84",2014,151680
"Iowa","75-84",2015,151905
"Iowa","75-84",2016,153003
"Iowa","75-84",2017,154702
"Iowa","75-84",2018,158922
"Iowa","75-84",2019,162422
"Iowa","75-84",2020,158690
"Iowa","75-84",2021,159823
"Iowa","75-84",2022,160414
"Iowa","75-84",2023,161005
"Iowa","85+",2010,75140
"Iowa","85+",2011,76241
"Iowa","85+",2012,77558
"Iowa","85+",2013,78059
"Iowa","85+",2014,78929
"Iowa","85+",2015,79272
"Iowa","85+",2016,79569
"Iowa","85+",2017,79202
"Iowa","85+",2018,78805
"Iowa","85+",2019,78454
"Iowa","85+",2020,70829
"Iowa","85+",2021,69346
"Iowa","85+",2022,68819
"Iowa","85+",2023,68293
"Kansas","all",2010,2837720
"Kansas","all",2011,2848952
"Kansas","all",2012,2862952
"Kansas","all",2013,2869913
"Kansas","all",2014,2879100
"Kansas","all",2015,2886880
"Kansas","all",2016,2892082
"Kansas","all",2017,2888949
"Kansas","all",2018,2890012
"Kansas","all",2019,2889899
"Kansas","all",2020,2914298
"Kansas","all",2021,2912831
"Kansas","all",2022,2919659
"Kansas","all",2023,2926488
"Kansas","0-24",2010,1009544
"Kansas","0-24",2011,1011491
"Kansas","0-24",2012,1016164
"Kansas","0-24",2013,1016693
"Kansas","0-24",2014,1016899
"Kansas","0-24",2015,1014942
"Kansas","0-24",2016,1010331
"Kansas","0-24",2017,1000097
"Kansas","0-24",2018,993939
"Kansas","0-24",2019,986087
"Kansas","0-24",2020,995003
"Kansas","0-24",2021,988077
"Kansas","0-24",2022,986125
"Kansas","0-24",2023,984174
"Kansas","25-44",2010,713026
"Kansas","25-44",2011,713098
"Kansas","25-44",2012,714886
"Kansas","25-44",2013,715283
"Kansas","25-44",2014,717477
"Kansas","25-44",2015,719421
"Kansas","25-44",2016,722058
"Kansas","25-44",2017,724199
"Kansas","25-44",2018,728333
"Kansas","25-44",2019,731045
"Kansas","25-44",2020,739363
"Kansas","25-44",2021,742071
"Kansas","25-44",2022,744711
"Kansas","25-44",2023,747352
"Kansas","45-64",2010,738083
"Kansas","45-64",2011,743088
"Kansas","45-64",2012,737898
"Kansas","45-64",2013,733683
"Kansas","45-64",2014,730037
"Kansas","45-64",2015,727545
"Kansas","45-64",2016,723251
"Kansas","45-64",2017,716523
"Kansas","45-64",2018,707192
"Kansas","45-64",2019,697851
"Kansas","45-64",2020,702063
"Kansas","45-64",2021,693045
"Kansas","45-64",2022,688951
"Kansas","45-64",2023,684856
"Kansas","65-74",2010,191151
"Kansas","65-74",2011,195015
"Kansas","65-74",2012,207005
"Kansas","65-74",2013,216485
"Kansas","65-74",2014,225608
"Kansas","65-74",2015,234965
"Kansas","65-74",2016,244755
"Kansas","65-74",2017,254281
"Kansas","65-74",2018,262396
"Kansas","65-74",2019,272274
"Kansas","65-74",2020,283400
"Kansas","65-74",2021,294178
"Kansas","65-74",2022,303544
"Kansas","65-74",2023,312910
"Kansas","75-84",2010,126243
"Kansas","75-84",2011,125737
"Kansas","75-84",2012,125252
"Kansas","75-84",2013,125238
"Kansas","75-84",2014,125661
"Kansas","75-84",2015,125799
"Kansas","75-84",2016,126927
"Kansas","75-84",2017,128683
"Kansas","75-84",2018,132719
"Kansas","75-84",2019,137140
"Kansas","75-84",2020,135169
"Kansas","75-84",2021,137320
"Kansas","75-84",2022,138327
"Kansas","75-84",2023,139334
"Kansas","85+",2010,59673
"Kansas","85+",2011,60523
"Kansas","85+",2012,61747
"Kansas","85+",2013,62531
"Kansas","85+",2014,63418
"Kansas","85+",2015,64208
"Kansas","85+",2016,64760
"Kansas","85+",2017,65166
"Kansas","85+",2018,65433
"Kansas","85+",2019,65502
"Kansas","85+",2020,59300
"Kansas","85+",2021,58140
"Kansas","85+",2022,58001
"Kansas","85+",2023,57861
"Kentucky","all",2010,4326971
"Kentucky","all",2011,4348352
"Kentucky","all",2012,4363573
"Kentucky","all",2013,4386681
"Kentucky","all",2014,4397571
"Kentucky","all",2015,4410772
"Kentucky","all",2016,4423815
"Kentucky","all",2017,4438861
"Kentucky","all",2018,4447250
"Kentucky","all",2019,4455320
"Kentucky","all",2020,4487685
"Kentucky","all",2021,4491364
"Kentucky","all",2022,4506309
"Kentucky","all",2023,4521254
"Kentucky","0-24",2010,1432039
"Kentucky","0-24",2011,1436098
"Kentucky","0-24",2012,1438470
"Kentucky","0-24",2013,1444125
"Kentucky","0-24",2014,1439341
"Kentucky","0-24",2015,1434110
"Kentucky","0-24",2016,1426553
"Kentucky","0-24",2017,1423235
"Kentucky","0-24",2018,1418782
"Kentucky","0-24",2019,1413434
"Kentucky","0-24",2020,1426913
"Kentucky","0-24",2021,1423357
"Kentucky","0-24",2022,1422568
"Kentucky","0-24",2023,1421778
"Kentucky","25-44",2010,1130036
"Kentucky","25-44",2011,1125554
"Kentucky","25-44",2012,1119530
"Kentucky","25-44",2013,1119708
"Kentucky","25-44",2014,1117373
"Kentucky","25-44",2015,1117943
"Kentucky","25-44",2016,1120416
"Kentucky","25-44",2017,1124572
"Kentucky","25-44",2018,1126820
"Kentucky","25-44",2019,1130842
"Kentucky","25-44",2020,1137903
"Kentucky","25-44",2021,1142231
"Kentucky","25-44",2022,1143340
"Kentucky","25-44",2023,1144448
"Kentucky","45-64",2010,1184502
"Kentucky","45-64",2011,1196392
"Kentucky","45-64",2012,1191040
"Kentucky","45-64",2013,1188814
"Kentucky","45-64",2014,1186165
"Kentucky","45-64",2015,1185999
"Kentucky","45-64",2016,1185257
"Kentucky","45-64",2017,1180780
"Kentucky","45-64",2018,1172291
"Kentucky","45-64",2019,1160703
"Kentucky","45-64",2020,1168324
"Kentucky","45-64",2021,1155516
"Kentucky","45-64",2022,1152881
"Kentucky","45-64",2023,1150246
"Kentucky","65-74",2010,326699
"Kentucky","65-74",2011,333474
"Kentucky","65-74",2012,354747
"Kentucky","65-74",2013,370129
"Kentucky","65-74",2014,385156
"Kentucky","65-74",2015,398561
"Kentucky","65-74",2016,411798
"Kentucky","65-74",2017,424624
"Kentucky","65-74",2018,434623
"Kentucky","65-74",2019,447847
"Kentucky","65-74",2020,462830
"Kentucky","65-74",2021,476140
"Kentucky","65-74",2022,489726
"Kentucky","65-74",2023,503311
"Kentucky","75-84",2010,184015
"Kentucky","75-84",2011,185475
"Kentucky","75-84",2012,186416
"Kentucky","75-84",2013,189126
"Kentucky","75-84",2014,192943
"Kentucky","75-84",2015,196095
"Kentucky","75-84",2016,200646
"Kentucky","75-84",2017,205358
"Kentucky","75-84",2018,213636
"Kentucky","75-84",2019,220444
"Kentucky","75-84",2020,217182
"Kentucky","75-84",2021,220507
"Kentucky","75-84",2022,223824
"Kentucky","75-84",2023,227142
"Kentucky","85+",2010,69680
"Kentucky","85+",2011,71359
"Kentucky","85+",2012,73370
"Kentucky","85+",2013,74779
"Kentucky","85+",2014,76593
"Kentucky","85+",2015,78064
"Kentucky","85+",2016,79145
"Kentucky","85+",2017,80292
"Kentucky","85+",2018,81098
"Kentucky","85+",2019,82050
"Kentucky","85+",2020,74533
"Kentucky","85+",2021,73613
"Kentucky","85+",2022,73971
"Kentucky","85+",2023,74328
"Louisiana","all",2010,4521176
"Louisiana","all",2011,4558763
"Louisiana","all",2012,4582434
"Louisiana","all",2013,4605736
"Louisiana","all",2014,4627054
"Louisiana","all",2015,4649374
"Louisiana","all",2016,4663846
"Louisiana","all",2017,4656021
"Louisiana","all",2018,4648527
"Louisiana","all",2019,4642359
"Louisiana","all",2020,4635602
"Louisiana","all",2021,4608243
"Louisiana","all",2022,4616158
"Louisiana","all",2023,4624073
"Louisiana","0-24",2010,1585092
"Louisiana","0-24",2011,1586955
"Louisiana","0-24",2012,1584113
"Louisiana","0-24",2013,1580324
"Louisiana","0-24",2014,1574320
"Louisiana","0-24",2015,1565340
"Louisiana","0-24",2016,1552085
"Louisiana","0-24",2017,1533336
"Louisiana","0-24",2018,1518630
"Louisiana","0-24",2019,1505483
"Louisiana","0-24",2020,1505119
"Louisiana","0-24",2021,1490611
"Louisiana","0-24",2022,1482022
"Louisiana","0-24",2023,1473433
"Louisiana","25-44",2010,1182419
"Louisiana","25-44",2011,1194894
"Louisiana","25-44",2012,1201634
"Louisiana","25-44",2013,1210833
"Louisiana","25-44",2014,1221546
"Louisiana","25-44",2015,1233120
"Louisiana","25-44",2016,1242273
"Louisiana","25-44",2017,1241760
"Louisiana","25-44",2018,1241454
"Louisiana","25-44",2019,1241222
"Louisiana","25-44",2020,1236527
"Louisiana","25-44",2021,1226266
"Louisiana","25-44",2022,1230252
"Louisiana","25-44",2023,1234238
"Louisiana","45-64",2010,1192887
"Louisiana","45-64",2011,1205083
"Louisiana","45-64",2012,1200531
"Louisiana","45-64",2013,1199659
"Louisiana","45-64",2014,1196662
"Louisiana","45-64",2015,1195680
"Louisiana","45-64",2016,1192017
"Louisiana","45-64",2017,1183127
"Louisiana","45-64",2018,1169599
"Louisiana","45-64",2019,1153554
"Louisiana","45-64",2020,1149778
"Louisiana","45-64",2021,1129556
"Louisiana","45-64",2022,1123799
"Louisiana","45-64",2023,1118041
"Louisiana","65-74",2010,313790
"Louisiana","65-74",2011,321254
"Louisiana","65-74",2012,341659
"Louisiana","65-74",2013,356668
"Louisiana","65-74",2014,371709
"Louisiana","65-74",2015,386995
"Louisiana","65-74",2016,402692
"Louisiana","65-74",2017,416483
"Louisiana","65-74",2018,428194
"Louisiana","65-74",2019,443154
"Louisiana","65-74",2020,456807
"Louisiana","65-74",2021,471409
"Louisiana","65-74",2022,485738
"Louisiana","65-74",2023,500067
"Louisiana","75-84",2010,180602
"Louisiana","75-84",2011,182017
